condition,AUC,BalAcc
Zero-shot (no fine-tune),0.4139784946236559,0.4838709677419355
Scratch (random init),0.8682795698924731,0.8763440860215054
Frozen TL (head only),0.8225806451612903,0.6344086021505376
Full TL (our method),0.9193548387096775,0.8844086021505376
